order_id,customer_id,product_id,order_date,order_status,quantity,discount,shipping_cost,payment_method,order_value
1,4688,7,2024-05-02,Shipped,3,0.02,18.69,Credit Card,143.34
2,3072,55,2024-11-04,Cancelled,3,0.18,11.26,Credit Card,489.07
3,860,24,2023-06-30,Delivered,2,0.04,0.52,Credit Card,646.98
4,4595,52,2024-06-12,Shipped,1,0.08,9.39,Credit Card,560.28
5,4317,80,2023-10-07,Delivered,3,0.29,3.08,Bank Transfer,722.19
6,4686,57,2024-03-07,Pending,3,0.26,7.26,Bank Transfer,370.36
7,263,36,2024-03-19,Shipped,3,0.02,9.08,PayPal,319.88
8,732,68,2024-08-25,Pending,3,0.07,8.53,Credit Card,595.27
9,1812,1,2024-11-10,Pending,1,0.19,7.87,Credit Card,757.88
10,4078,50,2024-09-16,Pending,1,0.17,4.86,Bank Transfer,805.61
11,56,24,2023-07-12,Pending,5,0.04,3.33,Bank Transfer,410.82
12,3436,99,2023-06-25,Cancelled,5,0.28,16.07,Bank Transfer,698.55
13,4964,82,2023-08-05,Cancelled,3,0.05,3.64,PayPal,324.53
14,1687,2,2025-04-16,Cancelled,2,0.17,2.92,Credit Card,426.07
15,1888,67,2024-02-06,Cancelled,4,0.23,10.12,Credit Card,321.05
16,2265,96,2023-10-24,Cancelled,4,0.09,9.58,Bank Transfer,120.91
17,2932,18,2024-03-16,Pending,3,0.23,13.18,Credit Card,531.66
18,367,58,2023-08-21,Cancelled,3,0.1,19.94,Credit Card,994.54
19,2677,99,2024-09-02,Cancelled,1,0.17,12.2,PayPal,557.2
20,987,38,2024-04-29,Cancelled,3,0.07,0.38,Credit Card,957.07
21,235,67,2025-04-28,Shipped,4,0.15,12.0,Credit Card,71.03
22,2939,36,2024-09-11,Cancelled,1,0.08,5.9,Credit Card,335.25
23,1365,96,2024-05-03,Cancelled,3,0.08,8.5,Bank Transfer,290.13
24,4216,41,2023-11-11,Cancelled,2,0.26,17.32,Bank Transfer,391.24
25,1753,83,2025-04-25,Delivered,1,0.02,13.96,PayPal,777.34
26,2678,16,2025-03-04,Pending,1,0.26,11.19,Bank Transfer,82.22
27,2549,62,2023-12-04,Delivered,3,0.2,18.46,Credit Card,722.98
28,262,70,2024-12-24,Pending,3,0.04,4.14,PayPal,398.17
29,2023,59,2024-07-24,Delivered,3,0.28,14.45,Bank Transfer,177.46
30,4280,62,2024-05-21,Pending,3,0.24,19.14,Bank Transfer,240.47
31,2018,35,2025-03-21,Delivered,3,0.29,12.78,Bank Transfer,121.15
32,4084,34,2025-04-16,Cancelled,3,0.24,2.81,Credit Card,237.48
33,924,45,2023-10-31,Shipped,2,0.03,4.26,Credit Card,867.64
34,4589,34,2023-10-26,Shipped,3,0.24,17.25,PayPal,709.58
35,3812,8,2025-04-19,Delivered,5,0.16,16.56,Bank Transfer,152.79
36,2275,46,2024-10-02,Cancelled,2,0.2,4.47,Bank Transfer,187.59
37,4413,46,2024-08-23,Cancelled,2,0.18,1.38,PayPal,888.32
38,2678,64,2023-06-14,Cancelled,1,0.29,17.4,Bank Transfer,834.38
39,2067,40,2023-05-06,Delivered,3,0.07,0.76,Bank Transfer,418.17
40,4613,66,2024-03-12,Cancelled,3,0.19,2.23,PayPal,392.87
41,4884,36,2023-11-28,Delivered,1,0.11,12.83,Credit Card,399.28
42,2005,85,2024-02-01,Shipped,4,0.03,14.26,Credit Card,36.58
43,285,31,2025-04-13,Delivered,5,0.06,10.97,Bank Transfer,804.53
44,3758,62,2025-04-13,Pending,2,0.19,19.0,Credit Card,434.97
45,2714,19,2025-04-28,Pending,4,0.25,18.44,PayPal,241.46
46,3432,10,2024-12-22,Cancelled,3,0.21,8.58,Bank Transfer,931.44
47,3802,33,2024-07-25,Pending,1,0.06,3.54,Bank Transfer,451.71
48,1358,66,2025-04-14,Shipped,2,0.08,14.37,PayPal,343.44
49,3971,77,2024-12-28,Pending,3,0.01,8.33,PayPal,775.88
50,4525,16,2024-02-24,Cancelled,3,0.16,7.98,Credit Card,449.95
51,858,24,2024-09-06,Delivered,4,0.03,17.87,Credit Card,194.94
52,1967,62,2025-03-07,Delivered,3,0.08,3.76,Bank Transfer,42.11
53,2749,5,2023-07-11,Shipped,4,0.03,13.55,Credit Card,733.28
54,4247,28,2024-09-07,Shipped,1,0.24,17.15,Credit Card,718.0
55,2731,56,2024-06-16,Delivered,1,0.25,9.37,Credit Card,36.63
56,3055,36,2024-10-02,Pending,4,0.22,3.31,Bank Transfer,651.7
57,4850,36,2025-01-12,Delivered,3,0.11,2.5,PayPal,168.03
58,3455,78,2023-05-22,Cancelled,4,0.23,19.07,PayPal,761.77
59,2771,44,2024-12-30,Delivered,2,0.29,15.71,Credit Card,515.26
60,4465,50,2023-12-09,Shipped,4,0.09,1.5,Bank Transfer,563.84
61,4415,12,2023-06-02,Pending,2,0.19,15.48,Bank Transfer,532.88
62,553,10,2023-11-29,Shipped,1,0.12,6.36,PayPal,132.31
63,4329,45,2025-04-02,Pending,4,0.24,14.71,PayPal,613.58
