shipping_id,order_id,shipping_provider,shipping_status,delivery_days,delivery_priority
1,1,USPS,Delivered,3,Standard
2,2,FedEx,Returned,4,Express
3,3,UPS,Delayed,2,Overnight
4,4,USPS,Returned,1,Standard
5,5,UPS,In Transit,12,Express
6,6,UPS,In Transit,8,Standard
7,7,DHL,Delivered,13,Overnight
8,8,DHL,Returned,7,Express
9,9,DHL,In Transit,2,Standard
10,10,DHL,Returned,1,Standard
11,11,USPS,In Transit,14,Express
12,12,FedEx,In Transit,12,Standard
13,13,USPS,Returned,13,Overnight
14,14,FedEx,Delayed,4,Express
15,15,UPS,In Transit,4,Standard
16,16,DHL,Delivered,8,Standard
17,17,UPS,In Transit,3,Standard
18,18,UPS,Delayed,4,Overnight
19,19,UPS,In Transit,13,Express
20,20,FedEx,Delivered,4,Overnight
21,21,USPS,Delivered,13,Standard
22,22,UPS,Delayed,2,Overnight
23,23,FedEx,Delivered,2,Overnight
24,24,FedEx,In Transit,14,Express
25,25,USPS,Delayed,4,Overnight
26,26,USPS,Returned,13,Overnight
27,27,UPS,Delivered,8,Express
28,28,UPS,Delayed,5,Express
29,29,FedEx,Returned,12,Express
30,30,DHL,Delivered,5,Express
31,31,UPS,Returned,8,Overnight
32,32,DHL,In Transit,14,Express
33,33,USPS,Returned,13,Express
34,34,UPS,In Transit,4,Standard
35,35,DHL,Returned,1,Overnight
36,36,UPS,Delayed,14,Express
37,37,DHL,In Transit,4,Express
38,38,DHL,In Transit,13,Standard
39,39,DHL,Delivered,6,Standard
40,40,FedEx,Delivered,10,Standard
41,41,UPS,Delivered,10,Standard
42,42,FedEx,Returned,2,Overnight
43,43,UPS,In Transit,11,Express
44,44,UPS,Delayed,9,Standard
45,45,DHL,Delivered,2,Overnight
46,46,UPS,Delayed,9,Standard
47,47,UPS,Returned,1,Express
48,48,DHL,Returned,11,Express
49,49,UPS,Returned,10,Standard
50,50,DHL,Returned,8,Overnight
51,51,FedEx,Returned,13,Overnight
52,52,USPS,Delivered,10,Standard
53,53,DHL,Delivered,3,Standard
54,54,DHL,Delayed,13,Standard
